filer,sourceName,amount,date,description,formUrl,legislatorGlassHouseUrl
Cecilia Aguiar-Curry,Associated General Contractors,168.71,2022-05-12,Food and Drink,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Agave Council,120,2022-07-08,Agave Spirit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Association of Recreation & Park Districts,56.26,2022-05-20,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Napa Solano Central Labor Council,100,2022-05-16,Joint Legislative Conference Dinner Ticket,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California State University,7.8,2022-05-24,Red building vest,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,"Reyes Holding, LLC",95.34,2022-08-17,Food and beverage,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Northern California Water Association,36,2022-06-20,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Citrus Mutual,212.89,2022-05-24,Food and Drink,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Equality California,89,2022-03-22,Food and beverage,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Democratic Party,62.96,2022-05-03,Lunch at Sterling Hotel,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Democratic Party,67.87,2022-08-16,Lunch at Sheraton,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Democratic Party,61.78,2022-11-09,Offsite Caucus Lunch- Centerplate,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Women in California Leadership,22.01,2022-12-05,two office plants,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Women in California Leadership,94.99,2022-01-22,Flowers,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Issues Forum,76,2022-02-28,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Issues Forum,14.32,2022-05-23,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Issues Forum,20.28,2022-06-14,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Issues Forum,135,2022-06-27,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Issues Forum,19.74,2022-08-15,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Issues Forum,128,2022-08-22,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Latino Legislative Caucus Foundation,75.85,2022-08-23,2021-2022 CLLC Commemorative poster,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Rendon for Assembly 2020,24.64,2021-01-28,Photo Book (Pictures of Organizational Session and Swearing in),https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Bill Wong,19,2021-03-17,scarf,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Re-Elect Senator Atkins 2020,45,2021-03-03,Champagne,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Re-Elect Senator Atkins 2020,54.5,2021-06-29,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Re-Elect Senator Atkins 2020,72.49,2021-09-11,Champagne,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Assemblymember Reyes for Assembly 2022,7.5,2021-03-04,face mask,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,American Pistachio Growers,25,2021-04-02,A bag of Pistachios and a Pistachio mascot,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,API Legislative Caucus Foundation,11.6,2021-05-25,API Heritage Month Gift Bag,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Issues Forum,50.11,2021-06-16,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Issues Forum,83,2021-06-21,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Issues Forum,18.76,2021-03-15,Book,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Planned Parenthood Affiliates of California,39.2,2021-01-20,Say Abortion” shirt and a pink pashmina,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Women in California Leadership,172.89,2021-06-22,dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Evan Low for Assembly 2022,117.65,2021-06-16,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Evan Low for Assembly 2022,12.15,2021-07-14,Vaccination t-shirt,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,"California State University, Office of the Chancellor",21.8,2021-06-03,commemorative stole and mask,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Democratic Party,60.99,2021-08-24,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Democratic Party,56.93,2021-05-04,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,California Latino Legislative Caucus Foundation,10.44,2021-03-25,Cesar Chavez Face Mask,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Yocha Dehe Wintun Nation,189.9,2021-05-06,"Dessert Box, entertainment and Dinner",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Cecilia Aguiar-Curry,Susan Rubio for Senate 2022,37.2,2021-03-15,RBG tote bag and collar,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://calmatters.org/legislator-tracker/cecilia-aguiar-curry-1954
Ben Allen,California Jewish Legislative Caucus Leadership Foundation,57.33,2022-04-20,lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,California Jewish Legislative Caucus Leadership Foundation,116.12,2022-05-03,dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,Equality California,209.17,2022-10-01,Food/Award Reception,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,Visit Napa Valley,102.5,2022-08-17,Transportation/Gift Bag,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,City of Beverly Hills,100,2022-08-10,Baccarat Ornament,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,City of Beverly Hills,25,2022-08-10,bookmark,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,City of Beverly Hills,25,2022-08-10,plaque,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,Wine Growers of Napa County,144.65,2022-08-17,Senate Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,National Stewardship Action Council,306.63,2022-08-22,Award/Art,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,National Stewardship Action Council,44.24,2022-08-22,reception,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,California Foundation on the Environment and the Economy,80,2022-01-10,dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,California Democratic Party,41.28,2022-03-16,Group Snacks,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,California Democratic Party,51.18,2022-12-04,reception,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,Coalition for Clean Air,88,2022-03-23,dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,California Democratic Party,30.99,2022-03-15,Group Snacks,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,California Democratic Party,102.49,2022-03-15,dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,California Democratic Party,39.63,2022-03-16,breakfast,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://calmatters.org/legislator-tracker/benjamin-allen-1978
Ben Allen,Re-Elect Senator Atkins 2020,80.71,2021-02-23,Jacket,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://calmatters.org/legislator-tracker/ben-allen
Ben Allen,Re-Elect Senator Atkins 2020,92.79,2021-05-04,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://calmatters.org/legislator-tracker/ben-allen
Ben Allen,Re-Elect Senator Atkins 2020,140,2021-06-21,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://calmatters.org/legislator-tracker/ben-allen
Ben Allen,Alastair Mactaggart,367.03,2021-03-01,Case of wine,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://calmatters.org/legislator-tracker/ben-allen
Ben Allen,California Jewish Legislative Caucus Leadership Foundation,33.15,2021-01-28,Food & Beverage,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://calmatters.org/legislator-tracker/ben-allen
Ben Allen,California Jewish Legislative Caucus Leadership Foundation,26.6,2021-01-28,Gift Box,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://calmatters.org/legislator-tracker/ben-allen
Ben Allen,California Jewish Legislative Caucus Leadership Foundation,32.41,2021-01-28,Yeti Mug,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://calmatters.org/legislator-tracker/ben-allen
Ben Allen,California Jewish Legislative Caucus Leadership Foundation,67.43,2021-01-28,Tzedakah Box,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://calmatters.org/legislator-tracker/ben-allen
Ben Allen,California Jewish Legislative Caucus Leadership Foundation,175.48,2021-01-28,Jacket,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://calmatters.org/legislator-tracker/ben-allen
Ben Allen,Frank McCourt,200,2021-10-06,Two Baseball Tickets,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://calmatters.org/legislator-tracker/ben-allen
Marie Alvarado-Gil,California Charter Schools Association Advocates,160.13,2022-12-21,dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/827fb1dd-03b1-456d-9c8b-2924c5770723.pdf,https://calmatters.org/legislator-tracker/marie-alvarado-gil-1973
David Alvarez,Re-Elect Senator Atkins 2020,97.82,2022-06-16,Flowers,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,Rincon Band of Luiseño Indians,320.44,2022-08-12,Meal,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,California Issues Forum,19.74,2022-08-15,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,California Issues Forum,128,2022-08-22,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,California Democratic Party,67.87,2022-08-16,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,California Democratic Party,61.78,2022-11-09,Lunch,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,California Chamber of Commerce,63.88,2022-08-17,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,California Latino Legislative Caucus Foundation,75.85,2022-08-23,Commemorative Poster,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,San Diego State University,156.24,2022-09-03,2 tickets to Football Game,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
David Alvarez,More Choice San Diego,50,2022-12-07,Dinner,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://calmatters.org/legislator-tracker/david-alvarez-1980
Joaquin Arambula,California Latino Legislative Caucus Foundation,47.39,2022-08-08,film screening,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/84493db1-4846-4f47-8c70-f76c36c01cb1.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
Joaquin Arambula,California Latino Legislative Caucus Foundation,75.85,2022-08-23,poster,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/84493db1-4846-4f47-8c70-f76c36c01cb1.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
Joaquin Arambula,Walt Disney Company,430,2022-03-19,tickets,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/84493db1-4846-4f47-8c70-f76c36c01cb1.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
Joaquin Arambula,Greater Reedley Chamber of Commerce,100,2022-02-26,food/drink,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/84493db1-4846-4f47-8c70-f76c36c01cb1.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
Joaquin Arambula,Fresno Area Hispanic Foundation,125,2022-04-29,food/drink,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/84493db1-4846-4f47-8c70-f76c36c01cb1.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
Joaquin Arambula,Neighborhood Industries,85,2022-03-25,food/drink,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/84493db1-4846-4f47-8c70-f76c36c01cb1.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
Joaquin Arambula,Fresno Fair,240,2022-10-05,tickets,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/84493db1-4846-4f47-8c70-f76c36c01cb1.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
Joaquin Arambula,Tom Richards,250,2022-06-15,food/drink,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/84493db1-4846-4f47-8c70-f76c36c01cb1.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
